symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251121P00059000,,,,,,,,,19.8,45,A,17.54,48,S, ,2025-11-19T17:55:18.202039077Z,,,,,,,,,,,,,,,,,,,,,,2025-11-21,59000,,,,,,
BTC260320P00080000,,,,,,,,,40.53,20,E,38.22,23,Z, ,2025-11-19T17:34:34.901095877Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,80000,,,,,,
BTC251219C00073000,0.35,0.35,0.34,2.0,0.34,2025-11-17T05:00:00Z,2.0,0.345,0.73,308,A,0.0,0,?,A,2025-11-19T17:41:47.664321708Z,f,0.35,1.0,2025-11-17T14:55:05.343820309Z,W,0.35,0.35,0.34,2.0,0.34,2025-11-17T14:55:00Z,2.0,0.345,0.3,0.3,0.3,1.0,0.3,2025-10-17T04:00:00Z,1.0,0.3,2025-12-19,73000,,,,,,
BTC251219C00049000,0.4,0.4,0.05,3.0,0.05,2025-11-19T05:00:00Z,4.0,0.2125,0.38,46,B,0.27,17,D, ,2025-11-19T18:00:35.067811086Z,f,0.4,1.0,2025-11-19T15:47:10.574394921Z,X,0.4,0.4,0.4,1.0,0.4,2025-11-19T15:47:00Z,1.0,0.4,0.35,0.41,0.35,2.0,0.41,2025-11-18T05:00:00Z,2.0,0.38,2025-12-19,49000,0.5649,0.1118,0.0297,0.0034,-0.0208,0.0216
BTC270115P00036000,,,,,,,,,7.01,13,E,3.98,13,E,A,2025-11-19T18:00:04.068931322Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,36000,0.4929,-0.3016,0.0166,-0.2016,-0.007,0.1483
BTC270115C00048000,10.5,10.5,10.5,1.0,10.5,2025-11-05T05:00:00Z,1.0,10.5,8.65,13,E,4.98,14,A,A,2025-11-19T18:00:27.630550857Z,a,10.5,1.0,2025-11-05T15:04:54.439378023Z,X,10.5,10.5,10.5,1.0,10.5,2025-11-05T15:04:00Z,1.0,10.5,14.0,14.0,14.0,1.0,14.0,2025-10-28T04:00:00Z,1.0,14.0,2027-01-15,48000,0.538,0.5101,0.0174,0.1546,-0.0121,0.1697
BTC251121C00056000,0.02,0.02,0.02,1.0,0.02,2025-11-17T05:00:00Z,8.0,0.02,0.73,338,A,0.0,0,?,A,2025-11-19T18:00:30.556474204Z,a,0.02,8.0,2025-11-17T20:03:36.027364382Z,X,0.02,0.02,0.02,1.0,0.02,2025-11-17T20:03:00Z,8.0,0.02,0.19,0.35,0.15,3.0,0.35,2025-11-03T05:00:00Z,3.0,0.23,2025-11-21,56000,,,,,,
BTC270115C00035000,13.4,13.4,13.4,1.0,13.4,2025-11-17T05:00:00Z,3.0,13.4,14.4,16,A,10.82,13,E,A,2025-11-19T18:00:38.262835664Z,I,13.4,3.0,2025-11-17T16:01:27.499487413Z,I,13.4,13.4,13.4,1.0,13.4,2025-11-17T16:01:00Z,3.0,13.4,14.25,14.25,14.25,1.0,14.25,2025-11-14T05:00:00Z,2.0,14.25,2027-01-15,35000,0.606,0.7178,0.0131,0.1827,-0.0118,0.1438
BTC260618C00040000,7.14,7.14,7.14,1.0,7.14,2025-11-19T05:00:00Z,1.0,7.14,7.5,615,X,6.32,25,B, ,2025-11-19T18:00:31.92205904Z,a,7.14,1.0,2025-11-19T15:21:58.34936815Z,X,7.14,7.14,7.14,1.0,7.14,2025-11-19T15:21:00Z,1.0,7.14,7.7,7.7,7.7,1.0,7.7,2025-11-18T05:00:00Z,1.0,7.7,2026-06-18,40000,0.5647,0.595,0.0228,0.0962,-0.0173,0.1166
BTC270115P00068000,,,,,,,,,31.12,12,E,27.51,13,E,A,2025-11-19T18:00:30.286169955Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,68000,0.5725,-0.6936,0.0144,-0.6563,-0.0047,0.1494
BTC251121P00047000,6.4,6.69,6.4,2.0,6.69,2025-11-18T05:00:00Z,2.0,6.545,7.89,28,H,5.88,53,B, ,2025-11-19T18:00:15.315359955Z,f,6.4,1.0,2025-11-18T15:39:35.448217513Z,W,6.4,6.4,6.4,1.0,6.4,2025-11-18T15:39:00Z,1.0,6.4,5.46,5.46,5.04,5.0,5.04,2025-11-17T05:00:00Z,9.0,5.211111,2025-11-21,47000,,,,,,
BTC270115C00064000,,,,,,,,,5.53,31,B,2.69,31,B,A,2025-11-19T18:00:30.553763004Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,64000,0.5722,0.3416,0.0151,0.1088,-0.0115,0.1562
BTC251219P00053000,5.95,5.95,5.95,1.0,5.95,2025-10-15T04:00:00Z,1.0,5.95,13.87,30,B,11.68,33,X,A,2025-11-19T17:57:31.642633744Z,g,5.95,1.0,2025-10-15T14:11:29.571421213Z,A,5.95,5.95,5.95,1.0,5.95,2025-10-15T14:11:00Z,1.0,5.95,4.8,4.8,4.8,1.0,4.8,2025-10-10T04:00:00Z,1.0,4.8,2025-12-19,53000,,,,,,
BTC251219P00032000,,,,,,,,,0.73,34,B,0.0,0,?,A,2025-11-19T17:38:16.580515255Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,32000,,,,,,
BTC260320P00046000,7.95,7.95,7.95,1.0,7.95,2025-11-19T05:00:00Z,1.0,7.95,8.83,18,M,7.28,596,X, ,2025-11-19T18:00:34.387813088Z,I,7.95,1.0,2025-11-19T15:23:19.045064582Z,Z,7.95,7.95,7.95,1.0,7.95,2025-11-19T15:23:00Z,1.0,7.95,7.0,7.0,7.0,1.0,7.0,2025-11-14T05:00:00Z,3.0,7.0,2026-03-20,46000,0.4686,-0.6461,0.0348,-0.1115,-0.0129,0.0848
