symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC280121C00030000,19.18,20.2,19.18,2.0,20.2,2025-11-17T05:00:00Z,3.0,19.86,20.62,10,U,16.92,16,E,A,2025-11-19T19:09:58.93099505Z,a,19.18,1.0,2025-11-17T18:52:40.165361619Z,X,19.18,19.18,19.18,1.0,19.18,2025-11-17T18:52:00Z,1.0,19.18,2028-01-21,30000,20.0,20.5,20.0,2.0,20.5,2025-11-14T05:00:00Z,5.0,20.3,0.6433,0.7989,0.0075,0.2768,-0.0078,0.1633
BTC260320P00065000,,,,,,,,,26.02,38,Z,23.87,31,B,A,2025-11-19T19:11:13.707942721Z,,,,,,,,,,,,,,2026-03-20,65000,,,,,,,,,0.4749,-0.9499,0.0096,-0.2069,0.0019,0.0235
BTC251219P00028000,,,,,,,,,0.77,280,A,0.0,0,?, ,2025-11-19T19:00:27.012618209Z,,,,,,,,,,,,,,2025-12-19,28000,,,,,,,,,,,,,,
BTC270115P00058000,,,,,,,,,23.15,12,E,18.34,13,E, ,2025-11-19T19:11:13.708407775Z,,,,,,,,,,,,,,2027-01-15,58000,,,,,,,,,0.5363,-0.6221,0.0167,-0.5235,-0.0059,0.1612
BTC270115P00056000,,,,,,,,,20.58,16,E,16.84,15,U,A,2025-11-19T19:10:41.257150687Z,,,,,,,,,,,,,,2027-01-15,56000,,,,,,,,,0.5063,-0.6172,0.0178,-0.4978,-0.0056,0.1618
BTC251219C00069000,0.2,0.2,0.2,1.0,0.2,2025-11-03T05:00:00Z,1.0,0.2,0.77,319,A,0.0,0,?,A,2025-11-19T19:09:05.430116794Z,I,0.2,1.0,2025-11-03T16:00:44.248273262Z,C,0.2,0.2,0.2,1.0,0.2,2025-11-03T16:00:00Z,1.0,0.2,2025-12-19,69000,1.15,1.15,1.15,1.0,1.15,2025-10-09T04:00:00Z,1.0,1.15,,,,,,
BTC280121C00051000,17.43,17.43,17.43,1.0,17.43,2025-10-29T04:00:00Z,1.0,17.43,13.26,15,U,8.9,22,A,A,2025-11-19T19:10:50.362005242Z,a,17.43,1.0,2025-10-29T13:41:14.258350256Z,X,17.43,17.43,17.43,1.0,17.43,2025-10-29T13:41:00Z,1.0,17.43,2028-01-21,51000,20.0,20.0,20.0,3.0,20.0,2025-10-27T04:00:00Z,10.0,20.0,0.5978,0.5909,0.0112,0.2656,-0.0096,0.2259
BTC260618P00030000,1.7,1.7,1.7,1.0,1.7,2025-11-10T05:00:00Z,1.0,1.7,2.27,15,M,1.53,442,A,A,2025-11-19T19:11:13.709035188Z,I,1.67,1.0,2025-11-10T19:41:01.556538611Z,E,1.7,1.7,1.7,1.0,1.7,2025-11-10T19:41:00Z,1.0,1.7,2026-06-18,30000,,,,,,,,,0.5386,-0.1774,0.0161,-0.0514,-0.009,0.078
BTC260320P00062000,,,,,,,,,23.01,34,A,20.88,27,E, ,2025-11-19T19:00:27.013855742Z,,,,,,,,,,,,,,2026-03-20,62000,,,,,,,,,0.4227,-0.954,0.0101,-0.1975,0.0024,0.0219
BTC260320P00056000,10.2,10.2,10.2,1.0,10.2,2025-08-05T04:00:00Z,1.0,10.2,17.36,42,A,14.97,69,E,A,2025-11-19T19:11:13.711320526Z,I,10.28,1.0,2025-08-05T14:42:23.458168002Z,X,10.2,10.2,10.2,1.0,10.2,2025-08-05T14:42:00Z,1.0,10.2,2026-03-20,56000,,,,,,,,,0.3925,-0.9165,0.0172,-0.1734,-0.0002,0.0349
